FEP_BUILDING,COMMON_NAME,FEP_BUILDING_DESC,FEP_BUILDING_ABBR,FEP_BUILDING_X_COORDINATE,FEP_BUILDING_Y_COORDINATE,FEP_BUILDING_GROSS_SQFT,ASSIGNABLE,NON_ASSIGNABLE,USABLE,FEP_BUILDING_CLASS
101,Lovett Hall,Lovett Hall,LVH,29.719021,-95.397824,53365.590000,16800.350000,17225.510000,34025.860000,Administrative
102,Maxfield Hall,Robert and Katherine Maxfield Hall,MXF,29.720773,-95.399959,25318.830000,10708.550000,9640.060000,20348.610000,Academic
103,Central Plant,Central Plant,CPL,29.720972,-95.400147,31322.430000,22377.180000,2670.000000,25047.180000,Support
104,Will Rice,Will Rice College,WRC,29.716386,-95.398698,86452.690000,47120.490000,22471.630000,69592.120000,Residence Hall
105,Herzstein,Herzstein Hall,HRZ,29.719356,-95.398495,52332.290000,29263.950000,13037.050000,42301.000000,Academic
106,Baker College,Baker College,BKC,29.717102,-95.399303,105473.610000,53838.020000,31941.190000,85779.220000,Residence Hall
107,Hanszen College,Hanszen College,HNZ,29.715584,-95.400691,115540.600000,61793.610000,34879.700000,96673.310000,Residence Hall
108,Track Stadium,Ley Track and Holloway Field,HFD,29.713244,-95.401697,3534.890000,2542.710000,633.060000,3175.770000,Athletic
109,Keck,Keck Hall,KCK,29.719614,-95.400114,98568.590000,52928.730000,26940.770000,79869.500000,Sci. Research
110,Cohen House,Robert and Agnes Cohen House,COH,29.717803,-95.397215,21747.020000,13062.710000,5565.530000,18628.240000,Support
112,Anderson Hall,M.D. Anderson Hall,ANH,29.718900,-95.399716,49575.600000,27979.920000,14043.550000,42023.470000,Academic
113,Fondren,Fondren Library,FON,29.718137,-95.400128,234328.170000,162850.650000,47517.090000,210367.740000,Academic
114,Huff House,Peter and Nancy Huff House,HUF,29.720548,-95.396279,9400.810000,6133.090000,1838.470000,7971.560000,Administrative
115,Tudor Fieldhouse,Tudor Fieldhouse and Youngkin Center,TUD,29.714970,-95.403768,194020.070000,133122.100000,18022.740000,151144.850000,Athletic
116,Stadium,Rice Stadium,STA,29.716037,-95.409307,205448.570000,183690.760000,28190.220000,211880.980000,Athletic
117,Jones College,Mary Gibbs Jones College - North,JON,29.721520,-95.396935,36422.600000,19721.750000,12799.890000,32521.640000,Residence Hall
118,Jones College,Mary Gibbs Jones College - South,JOS,29.720773,-95.399959,36560.170000,20445.610000,12360.910000,32806.520000,Residence Hall
120,Baker Magisters House,Baker College Magisters House,BKM,29.716993,-95.399835,4196.220000,3699.190000,11.000000,3710.180000,Support
121,Multicultural Center,Multicultural Center,MCL,29.716760,-95.400421,4224.710000,3353.600000,397.750000,3751.350000,Student Life
122,Student Center,Rice Memorial Center - Ley Student Center,RMC,29.717960,-95.401966,79696.580000,50747.210000,20166.670000,70913.880000,Student Life
123,Cooling Tower,Cooling Tower,CTW,29.721612,-95.399615,13536.470000,12262.870000,405.580000,12668.450000,Support
124,Biology,M.D. Anderson Biological Laboratories,ABL,29.718713,-95.402405,102163.620000,54562.510000,37458.060000,92020.570000,Sci. Research
125,Hamman Hall,Hamman Hall,HAM,29.720138,-95.401814,23649.220000,12700.710000,7040.150000,19740.850000,Academic
126,Geology,Keith-Wiess Geological Laboratories,KWG,29.719320,-95.402431,50619.470000,26059.140000,19117.830000,45176.970000,Sci. Research
127,Rayzor,Rayzor Hall,RZR,29.718016,-95.399064,31528.100000,16828.740000,10819.760000,27648.500000,Academic
128,Oshman,Oshman Engineering Design Kitchen,OED,29.721124,-95.401290,26399.620000,19860.360000,4108.200000,23968.560000,Academic
129,Ryon,Ryon Engineering Laboratory,RYN,29.720672,-95.400626,50931.800000,32437.030000,13804.860000,46241.890000,Sci. Research
130,Brown College,Margarett Root Brown College,BNC,29.721445,-95.395929,93068.230000,55430.650000,22110.860000,77541.520000,Residence Hall
131,Brown Magisters House,Brown College Magisters House,BRM,29.721062,-95.396067,4588.880000,4050.430000,0.000000,4050.430000,Support
132,Facilities,Facilities Engineering and Planning,FEP,29.721842,-95.399597,35340.870000,27640.250000,6642.410000,34282.660000,Administrative
133,Space Science,Space Science and Technology,SST,29.719842,-95.402629,87557.050000,51053.490000,30219.770000,81273.260000,Sci. Research
134,Allen Center,Allen Business Center,ALN,29.717629,-95.397839,63196.430000,30058.140000,16977.340000,47035.490000,Administrative
135,Herman Brown,Herman Brown Hall,HBH,29.719927,-95.400857,61776.340000,32844.060000,23029.780000,55873.840000,Academic
136,Old Lovett College,Old Edgar Odell Lovett College,OLC,29.716399,-95.397998,103756.430000,56799.180000,34782.580000,91581.760000,Residence Hall
141,Sewall,Sewall Hall,SEW,29.718338,-95.397972,105231.340000,56429.260000,31896.470000,88325.730000,Academic
143,Mechanical Engineering,Mechanical Engineering,MEB,29.720155,-95.400327,30240.560000,18689.310000,8888.070000,27577.380000,Sci. Research
144,Mudd,Mudd Computer Science Building,MUD,29.720454,-95.401119,30675.920000,17220.790000,9690.580000,26911.370000,Administrative
145,Herring Hall,Robert R. Herring Hall,HRG,29.717030,-95.401093,51221.300000,24588.930000,21003.420000,45592.350000,Academic
146,Annex Building,Police Department Building,POL,29.713823,-95.407016,20946.660000,14920.490000,4135.020000,19055.510000,Administrative
147,Alice Pratt Brown,Alice Pratt Brown Hall,APB,29.716212,-95.404981,153502.120000,65572.970000,48777.350000,114350.320000,Academic
148,George R. Brown,George R. Brown Hall,GRB,29.719205,-95.401330,138984.240000,63479.810000,56788.520000,120268.330000,Sci. Research
149,Duncan Hall,Anne and Charles Duncan Hall,DCH,29.720822,-95.399242,134786.880000,57595.650000,55637.120000,113232.770000,Academic
150,Baker Hall,James A. Baker III Hall,BKH,29.716601,-95.402648,65135.170000,36489.290000,18700.750000,55190.040000,Academic
151,Dell Butcher,Dell Butcher Hall,DBH,29.719462,-95.403153,86670.410000,45676.270000,31580.140000,77256.410000,Sci. Research
152,Graduate Apartments,Rice Graduate Apartments,RGA,29.725247,-95.398299,118215.900000,101825.890000,25922.540000,127748.430000,Residence Hall
153,Humanities,Humanities Building,HUM,29.717614,-95.399624,48987.320000,21826.700000,18799.820000,40626.520000,Academic
154,Reckling Park,Reckling Park at Cameron Field,RCK,29.714004,-95.404274,44308.270000,25322.900000,12885.420000,38208.320000,Athletic
155,Jones Magisters House,Jones College Magisters House,JOM,29.721283,-95.397326,4472.770000,3948.940000,18.580000,3967.520000,Support
156,Jones College,Mary Gibbs Jones College - Commons,JOC,29.721535,-95.396808,27397.390000,14266.860000,7383.330000,21650.190000,Residence Hall
157,McNair Hall,Janice and Robert McNair Hall,MCN,29.717400,-95.403496,378413.530000,273328.130000,73103.080000,346431.210000,Academic
158,Wiess College,Wiess College,WSC,29.714952,-95.400704,97566.340000,54665.430000,27936.630000,82602.050000,Residence Hall
159,Housing and Dining,Housing and Dining Offices,HOU,29.715235,-95.399674,4611.060000,3995.900000,65.440000,4061.340000,Support
160,Martel College,Martel College,MLC,29.722095,-95.397538,110386.970000,56776.100000,33443.010000,90219.100000,Residence Hall
161,Martel Magisters House,Martel College Magisters House,MLM,29.722426,-95.398223,4612.910000,3985.480000,18.640000,4004.120000,Support
162,North Servery,North Kitchen Servery,NSV,29.721839,-95.396625,26097.450000,13954.460000,9068.670000,23023.130000,Student Life
163,South Servery,South Kitchen Servery,SSV,29.715460,-95.401058,38458.870000,26919.630000,9007.810000,35927.440000,Student Life
164,Library Service Center,Library Service Center,LSC,29.656995,-95.443232,39870.500000,34021.860000,3020.860000,37042.720000,Academic
165,Student Health Center,Morton L. Rich Student Health Center,RSH,29.721004,-95.395526,13351.780000,7591.840000,4383.410000,11975.250000,Student Life
166,President's House,Wiess President's House,WPH,29.721393,-95.393900,16557.790000,11789.410000,107.980000,11897.390000,Administrative
167,Data Center,Primary Data Center,PDC,29.658172,-95.443261,25809.220000,19376.180000,4908.170000,24284.350000,Administrative
178,BRC,Bioscience Research Collaborative,BRC,29.711066,-95.402064,873985.470000,578845.160000,178865.940000,757711.100000,Sci. Research
179,South Plant,South Plant,SPL,29.714162,-95.399755,18038.180000,15183.190000,1022.490000,16205.680000,Support
180,McMurtry College,Burton and Deedee McMurtry College,MCC,29.720534,-95.397820,130217.480000,64961.830000,45893.050000,110854.880000,Residence Hall
181,Duncan College,Duncan College,DCC,29.721859,-95.398494,130227.920000,64649.920000,45021.600000,109671.520000,Residence Hall
182,McMurtry Magisters House,McMurtry College Magisters House,MCM,29.720773,-95.398401,4063.330000,3491.680000,0.000000,3491.680000,Support
183,Duncan Magisters House,Duncan College Magisters House,DCM,29.721317,-95.398749,4939.050000,4251.540000,0.000000,4251.540000,Support
184,West Servery,West Kitchen Servery,WSV,29.721104,-95.398376,40995.320000,22355.130000,14372.310000,36727.430000,Student Life
185,Brochstein Pavilion,Raymond and Susan Brochstein Pavilion,BPV,29.717837,-95.400821,11073.910000,9742.080000,526.900000,10268.980000,Student Life
188,IBC Building,IBC Building - 5615 Kirby Drive,IBC,29.722010,-95.418053,6430.210000,4537.960000,0.000000,4537.960000,Academic
